Order,Publish Date,Title,Story Arc,Detail Link
1,11/1961,Fantastic Four (1961) #1,-,https://cmro.travis-starnes.com/detail.php?idvalue=1
2,01/1962,Fantastic Four (1961) #2,-,https://cmro.travis-starnes.com/detail.php?idvalue=2
3,01/1962,Tales to Astonish (1958) #27,-,https://cmro.travis-starnes.com/detail.php?idvalue=5960
4,03/1962,Fantastic Four (1961) #3,-,https://cmro.travis-starnes.com/detail.php?idvalue=4
5,05/1962,Fantastic Four (1961) #4,-,https://cmro.travis-starnes.com/detail.php?idvalue=7
6,03/1962,Tales to Astonish (1958) #29 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=18959
7,04/1962,Tales to Astonish (1958) #30 [E Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=27967
8,05/1962,Incredible Hulk (1962) #1,-,https://cmro.travis-starnes.com/detail.php?idvalue=6
9,06/1962,Tales to Astonish (1958) #32 [D Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=26185
10,07/1962,Incredible Hulk (1962) #2,-,https://cmro.travis-starnes.com/detail.php?idvalue=8
11,07/1962,Amazing Adult Fantasy (1961) #14 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=5210
12,07/1962,Fantastic Four (1961) #5,-,https://cmro.travis-starnes.com/detail.php?idvalue=9
13,08/1962,Amazing Fantasy (1962) #15,-,https://cmro.travis-starnes.com/detail.php?idvalue=28
14,08/1962,Journey into Mystery (1952) #83,-,https://cmro.travis-starnes.com/detail.php?idvalue=10
15,09/1962,Journey into Mystery (1952) #84,-,https://cmro.travis-starnes.com/detail.php?idvalue=11
16,09/1962,Incredible Hulk (1962) #3,-,https://cmro.travis-starnes.com/detail.php?idvalue=12
17,09/1962,Fantastic Four (1961) #6,-,https://cmro.travis-starnes.com/detail.php?idvalue=13
18,09/1962,Tales to Astonish (1958) #35,-,https://cmro.travis-starnes.com/detail.php?idvalue=14
19,10/1962,Journey into Mystery (1952) #85,-,https://cmro.travis-starnes.com/detail.php?idvalue=15
20,10/1962,Fantastic Four (1961) #7,-,https://cmro.travis-starnes.com/detail.php?idvalue=16
21,10/1962,Strange Tales (1951) #101,-,https://cmro.travis-starnes.com/detail.php?idvalue=17
22,10/1962,Tales to Astonish (1958) #36,-,https://cmro.travis-starnes.com/detail.php?idvalue=18
23,11/1962,Journey into Mystery (1952) #86,-,https://cmro.travis-starnes.com/detail.php?idvalue=19
24,11/1962,Strange Tales (1951) #102,-,https://cmro.travis-starnes.com/detail.php?idvalue=20
25,11/1962,Incredible Hulk (1962) #4 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=21
26,11/1962,Incredible Hulk (1962) #4 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16185
27,11/1962,Fantastic Four (1961) #8,-,https://cmro.travis-starnes.com/detail.php?idvalue=22
28,11/1962,Tales to Astonish (1958) #37,-,https://cmro.travis-starnes.com/detail.php?idvalue=23
29,12/1962,Strange Tales (1951) #103,-,https://cmro.travis-starnes.com/detail.php?idvalue=24
